AAA TITLE,UTID,KEY,Class,Tempo,start,stop,Notes,Sing-a-long link
Sounds of Silence,QzYCJJ9nll0,Gb,Rock Ballad,?,,,,
Stand By Me,9M3wwddDec4,A,Rock Ballad,110,,,,
Stray Cat Strut,iXGfyCuBXhY,Cm,Rock-Jazz,135,,,Typically we play this in Am (transposed down 3),
Sunday Morning Coming Down,sAEbaKi9Tqc,Ab,Country,155,,,,
Take it Easy (Eagles),taBR575oGg8,G,Country-Rock,135,,,,
Take it Easy (Jackson Brown),lVA2fR-Z3Fk,G,Country-Rock,139,,,,
Take Me Home Country Roads,UtLuBg3Hot0,A,Country,172,,,,
Teach Your Children Well,xOqoM1Zvjug,G,Folk-Rock,165,,,,
The Dance,D5r78pPAGog,G,Country,135,,,,
The Twist,0ZdH8BQ5Tyc,E,Rock,160,,,,
The Weight,v=uk_eYw_imoI,A,Country,145,,,,
Theme From An Imaginary Western,AougjwA8QU8,A,Rock-Blues,150,,,Pretty High:<br>I transposed it up 6 because down 6 sounded too low for the instruments;<br>Then I dropped my vocal 6 down to it...,
Traveling Man,eRljT3CUXXg,D,Rock,132,,,,
Tulsa Time,MRFR-SFBrk4,E,Country,104,,,,
Turn the Page,p3nDt0_iTmI,,Rock Ballad,160,,,Too much bleed through,
Under the Boardwalk,L2-4CMEz3FA,G,Rock,125,,,,
Up on the Roof,73XeG6Zi9TA,G,Rock,122,,,,
Wagon Wheel,nJNAniogMoc,A,Country,145,,,,
Waltzing Matilda (Wierd Lyrics),nmVTGN5tWj0,C,Folk,96,,,Good practice for singing over a strong Harmony,
What a Wonderful World,xkmB2fZiVDc,F,Blues,70,,,,
When Daddy Let Me Drive,fmOvL0D_oCc,Bb,Country,125,,,,
Wicked Games,aJ2xXmqZUK4,E,Rock Ballad,115,,,Way out of range but fun to lower and mess with,
Will the Circle Be Unbroken,mb6dFVZlLF0,D>Eb,Country,210,,,,
Yesterday,GXHvnMZRGNQ,F,Folk-Ballad,100,,,,
You are my Sunshine,mb6dFVZlLF0,E,Country,120,,,,
You Were On My Mind,E9lMm5adkEo,E,Folk-Rock,145,,,No lyrics,
Your Cheatin Heart,Ez6r4hqkfyw,B,Country,?,,,,
Your Momma Dont Dance,MDUvtxvpep4,C,Rock,145,,,"Backup singing, Harmonies and Chorus",
