TITLE,UTID,KEY,Class,Tempo,start,stop,Notes,notes
Chicago Shuffle,xf4V7L9csG4,A,Blues,90,37,740,|1 |1 |1 |1 <br>|4 |4 |1 |1 <br>|5 |4 |1 |5,
BB King,iLTdHasc_go,E,Blues,,77,,|1 |1 |1 |1 <br>|4 |4 |1 |1 <br>|5 |4 |1 |5,
BB King,3cmfo2uQ1S0,A,Blues,75,,,|1 |1 |1 |1 <br>|4 |4 |1 |1 <br>|5 |4 |1 |5,
BB King,8L2mqkk28sE,A7,Blues,70,,,Dominant 7th<br>|1 |1 |1 |1 <br>|4 |4 |1 |1 <br>|5 |4 |1 |5,more notes
BB King,qKSxTuO5Qlk,A7,Blues,70,,,,
Chitlins con Carne,A_ZXkGDhauU,Bm,Blues,113,,,Stevie Ray Vaughn version
