TITLE,UTID,KEY,Class,Tempo,start,stop,Notes,notes
12 Bar,nKJWfVHk5FY,A,Rockabilly,175
12 Bar Stray Cat Style,GI8Qbxh7PD8,D,Rockabilly,175,55,
12 Bar Rhythm,QUpzCTD6Zok,E,Rockabilly,120
12 Bar Bass Heavy,wSv6klwVCiM,A,Rockabilly,180
